LATITUDE,LONGITUDE
30.2752,89.7812
42.3562,-71.0631
42.1913,72.4613
42.2904,-71.0712
42.1913,72.4613
42.6563,-83.1231
42.3313,-83.4656
42.2523,-83.2107
42.7264,-83.1599
42.7172,83.1435
42.6679,83.1327
45.6684,-111.2422
35.7178,-78.8428
35.2135,-80.8218
36.1858,79.8185
35.5843,80.7879
35.7,80.466
46.0965,-64.8007
40.6129,-74.416
40.2459,-74.2813
40.6496,-74.3505
43.1612,-78.6946
43.1444,-77.5057
43.0599,-76.1416
43.2216,-77.0484
43.2138,-77.4575
44.044,71.6685
40.8701,-74.6566
39.8013,-75.0031
35.7113,78.6142
34.9178,-80.718
41.1393,-73.7012
40.7637,-73.7695
41.808,-74.2314
42.1213,-73.858
43.1065,76.2177
43.143,77.5447
41.255,73.53
43.2123,77.43
40.6294,73.7095
40.2861,-84.1729
41.4453,-81.6991
39.908,-83.8354
41.2478,80.877
